r1	r2	reconstruction_loss
64	1	8.937295e-15
64	2	8.937295e-15
64	3	8.937295e-15
64	4	8.937295e-15
64	5	8.937295e-15
64	6	8.937295e-15
64	7	8.937295e-15
64	8	8.937295e-15
64	9	8.937295e-15
64	10	8.937295e-15
64	11	8.937295e-15
64	12	8.937295e-15
64	13	8.937295e-15
64	14	8.937295e-15
64	15	8.937295e-15
64	16	8.937295e-15
64	17	8.937295e-15
64	18	8.937295e-15
64	19	8.937295e-15
64	20	8.937295e-15
64	21	8.937295e-15
64	22	8.937295e-15
64	23	8.937295e-15
64	24	8.937295e-15
64	25	8.937295e-15
64	26	8.937295e-15
64	27	8.937295e-15
64	28	8.937295e-15
64	29	8.937295e-15
64	30	8.937295e-15
64	31	8.937295e-15
64	32	8.937295e-15
64	33	8.937295e-15
64	34	8.937295e-15
64	35	8.937295e-15
64	36	8.937295e-15
64	37	8.937295e-15
64	38	8.937295e-15
64	39	8.937295e-15
64	40	8.937295e-15
64	41	8.937295e-15
64	42	8.937295e-15
64	43	8.937295e-15
64	44	8.937295e-15
64	45	8.937295e-15
64	46	8.937295e-15
64	47	8.937295e-15
64	48	8.937295e-15
64	49	8.937295e-15
64	50	8.937295e-15
64	51	8.937295e-15
64	52	8.937295e-15
64	53	8.937295e-15
64	54	8.937295e-15
64	55	8.937295e-15
64	56	8.937295e-15
64	57	8.937295e-15
64	58	8.937295e-15
64	59	8.937295e-15
64	60	8.937295e-15
64	61	8.937295e-15
64	62	8.937295e-15
64	63	8.937295e-15
64	64	8.937295e-15
